audio_file,duration_s,transcript_fr,translation_en
remote_dataset/french_english_unprocessed_100/fr_0000.wav,2.50,bon on va tout de suite,"All right, let's go right now."
remote_dataset/french_english_unprocessed_100/fr_0001.wav,3.75,croyez-vous qu' il y a un docteur ou une infirmière,Do you think there's a doctor or a nurse?
remote_dataset/french_english_unprocessed_100/fr_0002.wav,2.25,c' est à droite ou à gauche,It's on the right or on the left.
remote_dataset/french_english_unprocessed_100/fr_0003.wav,2.75,merci bien de votre assistance,Thank you very much for your assistance
remote_dataset/french_english_unprocessed_100/fr_0004.wav,2.50,est-ce que le médecin est loin d' ici,Is the doctor far from here?
remote_dataset/french_english_unprocessed_100/fr_0005.wav,3.50,d' accord mais je ne connais pas cet endroit,but I don't know this place.
remote_dataset/french_english_unprocessed_100/fr_0006.wav,2.00,oui on a du transport,"Yes, we have transport."
remote_dataset/french_english_unprocessed_100/fr_0007.wav,3.25,non le moteur marche toujours bien,no the engine always works well
remote_dataset/french_english_unprocessed_100/fr_0008.wav,3.50,le moteur a-t-il cessé de fonctionner,Has the engine stopped operating
remote_dataset/french_english_unprocessed_100/fr_0009.wav,4.75,pourquoi vous ne pouvez pas la conduire,Why can't you drive her?
remote_dataset/french_english_unprocessed_100/fr_0010.wav,2.50,pourquoi vous ne pouvez pas la conduire,Why can't you drive her?
remote_dataset/french_english_unprocessed_100/fr_0011.wav,3.00,il n' y a pas de roue de secours,There is no spare wheel
remote_dataset/french_english_unprocessed_100/fr_0012.wav,3.00,il n' y a pas de roue de secours,There is no spare wheel
remote_dataset/french_english_unprocessed_100/fr_0013.wav,2.25,j' ai un pneu crevé,I've got a flat tire.
remote_dataset/french_english_unprocessed_100/fr_0014.wav,2.75,il n' y a pas de roue de secours,There is no spare wheel
remote_dataset/french_english_unprocessed_100/fr_0015.wav,3.00,non le moteur marche tout toujours bien,no the engine always works well
remote_dataset/french_english_unprocessed_100/fr_0016.wav,1.00,on a du transport,We've got transportation.
remote_dataset/french_english_unprocessed_100/fr_0017.wav,1.75,dans d' aller voir un médecin,in going to see a doctor
remote_dataset/french_english_unprocessed_100/fr_0018.wav,2.50,depuis quand votre ami est-il malade,since when is your friend sick
remote_dataset/french_english_unprocessed_100/fr_0019.wav,0.50,canadiens,Canadian
remote_dataset/french_english_unprocessed_100/fr_0020.wav,3.50,bien monsieur vous allez bien,"Well, sir, you're fine."
remote_dataset/french_english_unprocessed_100/fr_0021.wav,2.50,les toilettes sont au fond du couloir,the toilets are at the bottom of the hall
remote_dataset/french_english_unprocessed_100/fr_0022.wav,2.75,asseyez-vous s' il vous plaît,Please sit down.
remote_dataset/french_english_unprocessed_100/fr_0023.wav,2.25,merci bien de votre assistance,Thank you very much for your assistance
remote_dataset/french_english_unprocessed_100/fr_0024.wav,3.00,bon on va tout de suite,"All right, let's go right now."
remote_dataset/french_english_unprocessed_100/fr_0025.wav,2.75,c' est à droite ou à gauche,It's on the right or on the left.
remote_dataset/french_english_unprocessed_100/fr_0026.wav,2.50,est-ce que le médecin est loin d' ici,Is the doctor far from here?
remote_dataset/french_english_unprocessed_100/fr_0027.wav,3.25,d' accord mais je ne connais pas cet endroit,but I don't know this place.
