id,vi_audio,en_audio,vi_duration_s,en_duration_s,text_vi,text_en
1,remote_dataset/fleurs_vi_en/train/vi/vi_00001.wav,remote_dataset/fleurs_vi_en/train/en/en_00001.wav,16.32,17.82,vào hôm thứ hai các nhà khoa học thuộc trường y đại học stanford đã công bố phát minh một dụng cụ chẩn đoán mới có thể phân loại tế bào một con chíp nhỏ có thể sản xuất bằng máy in phun tiêu chuẩn với giá khoảng một xu mỹ mỗi chiếc,on monday scientists from the stanford university school of medicine announced the invention of a new diagnostic tool that can sort cells by type a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one u.s. cent each
3,remote_dataset/fleurs_vi_en/train/vi/vi_00003.wav,remote_dataset/fleurs_vi_en/train/en/en_00003.wav,15.78,12.06,chiếc jas 39c gripen đâm xuống đường băng vào khoảng 9:30 sáng giờ địa phương 0230 utc và nổ tung khiến cho phi trường phải đóng cửa các chuyến bay thương mại,the jas 39c gripen crashed onto a runway at around 9:30 am local time 0230 utc and exploded closing the airport to commercial flights
4,remote_dataset/fleurs_vi_en/train/vi/vi_00004.wav,remote_dataset/fleurs_vi_en/train/en/en_00004.wav,7.08,8.04,viên phi công được xác định là chỉ huy đội bay dilokrit pattavee,the pilot was identified as squadron leader dilokrit pattavee
5,remote_dataset/fleurs_vi_en/train/vi/vi_00005.wav,remote_dataset/fleurs_vi_en/train/en/en_00005.wav,6.78,6.00,truyền thông địa phương đưa tin một phương tiện chữa cháy sân bay đã tới khi trả lời,local media reports an airport fire vehicle rolled over while responding
6,remote_dataset/fleurs_vi_en/train/vi/vi_00006.wav,remote_dataset/fleurs_vi_en/train/en/en_00006.wav,8.04,7.86,ba mùa trước vidal đã rời sevilla để gia nhập barca ở độ tuổi 28,28-year-old vidal had joined barça three seasons ago from sevilla
7,remote_dataset/fleurs_vi_en/train/vi/vi_00007.wav,remote_dataset/fleurs_vi_en/train/en/en_00007.wav,11.70,7.68,từ khi chuyển đến thủ phủ của xứ catalan vidal đã chơi 49 trận đấu cho câu lạc bộ,since moving to the catalan-capital vidal had played 49 games for the club
8,remote_dataset/fleurs_vi_en/train/vi/vi_00008.wav,remote_dataset/fleurs_vi_en/train/en/en_00008.wav,16.20,12.96,cuộc biểu tình bắt đầu vào khoảng 11:00 giờ sáng giờ địa phương utc + 1 tại bạch sảnh đối diện lối vào có cảnh sát bảo vệ của phố downing nơi cư ngụ chính thức của thủ tướng,the protest started around 11:00 local time utc+1 on whitehall opposite the police-guarded entrance to downing street the prime minister's official residence
9,remote_dataset/fleurs_vi_en/train/vi/vi_00009.wav,remote_dataset/fleurs_vi_en/train/en/en_00009.wav,7.56,7.02,ngay sau 11 giờ những người biểu tình đã chặn xe trên đường phía bắc ở whitehall,just after 11:00 protesters blocked traffic on the northbound carriage in whitehall
10,remote_dataset/fleurs_vi_en/train/vi/vi_00010.wav,remote_dataset/fleurs_vi_en/train/en/en_00010.wav,13.26,11.88,vào lúc 11:20 cảnh sát đã yêu cầu người biểu tình lùi vào vỉa hè và nói rằng họ có quyền biểu tình nhưng không được gây ách tắc giao thông,at 11:20 the police asked the protesters to move back on to the pavement stating that they needed to balance the right to protest with the traffic building up
11,remote_dataset/fleurs_vi_en/train/vi/vi_00011.wav,remote_dataset/fleurs_vi_en/train/en/en_00011.wav,23.10,19.86,khoảng 11 giờ 29 phút nhóm biểu tình di chuyển đến bạch sảnh đi qua quảng trường trafalgar dọc theo đường strand qua đường aldwych và theo đường kingsway tiến ra đường holborn nơi đảng bảo thủ đang tổ chức diễn đàn mùa xuân tại khách sạn grand connaught rooms,around 11:29 the protest moved up whitehall past trafalgar square along the strand passing by aldwych and up kingsway towards holborn where the conservative party were holding their spring forum in the grand connaught rooms hotel
12,remote_dataset/fleurs_vi_en/train/vi/vi_00012.wav,remote_dataset/fleurs_vi_en/train/en/en_00012.wav,7.74,8.34,thành tích đối đầu của nadal trước đối thủ người canada này là 7-2,nadal's head to head record against the canadian is 7-2
13,remote_dataset/fleurs_vi_en/train/vi/vi_00013.wav,remote_dataset/fleurs_vi_en/train/en/en_00013.wav,8.16,4.98,gần đây anh ấy đã thua raonic ở giải brisbane mở rộng,he recently lost against raonic in the brisbane open
14,remote_dataset/fleurs_vi_en/train/vi/vi_00014.wav,remote_dataset/fleurs_vi_en/train/en/en_00014.wav,10.74,7.62,nadal bỏ túi 88% số điểm lên lưới trong trận đấu thắng 76 điểm trong lượt giao bóng đầu tiên,nadal bagged 88% net points in the match winning 76 points in the first serve
15,remote_dataset/fleurs_vi_en/train/vi/vi_00015.wav,remote_dataset/fleurs_vi_en/train/en/en_00015.wav,12.48,9.18,sau trận đấu ông vua sân đất nện nói rằng tôi rất vui khi được trở lại ở vòng đấu cuối của sự kiện đặc biệt quan trọng này tôi ở đây để cố gắng giành chiến thắng,after the match king of clay said i am just excited about being back in the final rounds of the most important events i am here to try to win this
16,remote_dataset/fleurs_vi_en/train/vi/vi_00016.wav,remote_dataset/fleurs_vi_en/train/en/en_00016.wav,12.24,12.30,hồ sơ panama là thuật ngữ chung cho khoảng mười triệu tài liệu từ hãng luật panama mossack fonseca bị rò rỉ với báo chí vào mùa xuân 2016,panama papers is an umbrella term for roughly ten million documents from panamanian law firm mossack fonseca leaked to the press in spring 2016
17,remote_dataset/fleurs_vi_en/train/vi/vi_00017.wav,remote_dataset/fleurs_vi_en/train/en/en_00017.wav,10.38,8.94,các hồ sơ cho thấy mười bốn ngân hàng đã giúp các khách hàng giàu có giấu hàng tỷ đô la mỹ tài sản để trốn thuế và các quy định khác,the documents showed fourteen banks helped wealthy clients hide billions of us dollars of wealth to avoid taxes and other regulations
18,remote_dataset/fleurs_vi_en/train/vi/vi_00018.wav,remote_dataset/fleurs_vi_en/train/en/en_00018.wav,13.68,9.54,nhật báo the guardian của vương quốc anh cho rằng công ty cổ phần ngân hàng đức deutsche bank kiểm soát khoảng một phần ba trong số 1200 công ty dầu khí được sử dụng để đạt được điều này,british newspaper the guardian suggested deutsche bank controlled roughly a third of the 1200 shell companies used to accomplish this
19,remote_dataset/fleurs_vi_en/train/vi/vi_00019.wav,remote_dataset/fleurs_vi_en/train/en/en_00019.wav,12.48,10.92,biểu tình nổ ra trên toàn thế giới một số vụ truy tố hình sự và các nhà lãnh đạo của chính phủ iceland và pakistan đều đã từ chức,there were protests worldwide several criminal prosecutions and the leaders of the governments of iceland and pakistan both resigned
20,remote_dataset/fleurs_vi_en/train/vi/vi_00020.wav,remote_dataset/fleurs_vi_en/train/en/en_00020.wav,10.32,8.46,sinh trưởng ở hồng kông ma theo học trường đại học new york và trường luật harvard và từng được cấp thẻ xanh của mỹ dành cho người thường trú,born in hong kong ma studied at new york university and harvard law school and once held an american permanent resident green card
21,remote_dataset/fleurs_vi_en/train/vi/vi_00021.wav,remote_dataset/fleurs_vi_en/train/en/en_00021.wav,9.84,8.04,hsieh ám chỉ trong thời gian bầu cử rằng ma có thể sẽ chạy trốn khỏi nước này trong thời gian khủng hoảng,hsieh implied during the election that ma might flee the country during a time of crisis
22,remote_dataset/fleurs_vi_en/train/vi/vi_00022.wav,remote_dataset/fleurs_vi_en/train/en/en_00022.wav,9.12,7.32,hsieh cũng lập luận rằng ông ma lịch lãm là kiểu người chú trọng đến vẻ bề ngoài hơn là nội dung bên trong,hsieh also argued that the photogenic ma was more style than substance
23,remote_dataset/fleurs_vi_en/train/vi/vi_00023.wav,remote_dataset/fleurs_vi_en/train/en/en_00023.wav,7.26,9.24,bất chấp các cáo buộc này ma vẫn dành chiến thắng đáng kể về chính sách ủng hộ quan hệ thắt chặt hơn với trung quốc đại lục,despite these accusations ma won handily on a platform advocating closer ties with the chinese mainland
24,remote_dataset/fleurs_vi_en/train/vi/vi_00024.wav,remote_dataset/fleurs_vi_en/train/en/en_00024.wav,7.02,6.12,cầu thủ xuất sắc nhất của ngày hôm nay là alex ovechkin của đội washington capitals,today's player of the day is alex ovechkin of the washington capitals
25,remote_dataset/fleurs_vi_en/train/vi/vi_00025.wav,remote_dataset/fleurs_vi_en/train/en/en_00025.wav,9.60,10.20,anh ấy có 2 bàn thắng và 2 bàn kiến tạo trong chiến thắng 5-3 trước atlanta thrashers của washington,he had 2 goals and 2 assists in washington's 5-3 win over the atlanta thrashers
26,remote_dataset/fleurs_vi_en/train/vi/vi_00026.wav,remote_dataset/fleurs_vi_en/train/en/en_00026.wav,12.06,14.46,đường chuyền yểm trợ đầu tiên của ovechkin được ấn định chiến thắng bởi tân binh nicklas backstrom,ovechkin's first assist of the night was on the game-winning goal by rookie nicklas backstrom
27,remote_dataset/fleurs_vi_en/train/vi/vi_00027.wav,remote_dataset/fleurs_vi_en/train/en/en_00027.wav,18.90,16.98,bàn thắng thứ hai trong đêm là bàn thứ 60 của anh ấy trong mùa giải này và anh ta trở thành cầu thủ đầu tiên ghi 60 bàn thắng trở lên trong một mùa giải kể từ năm 1995-1996 khi jaromir jagr và mario lemieux lần lượt đạt kỷ lục đó,his second goal of the night was his 60th of the season becoming the first player to score 60 or more goals in a season since 1995-96 when jaromir jagr and mario lemieux each reached that milestone
28,remote_dataset/fleurs_vi_en/train/vi/vi_00028.wav,remote_dataset/fleurs_vi_en/train/en/en_00028.wav,9.96,8.82,"batten được xếp hạng thứ 190 trong danh sách 400 người mỹ giàu nhất thế giới năm 2008 với khối tài sản ước tính là 2,3 tỷ đô",batten was ranked 190th on the 2008 400 richest americans list with an estimated fortune of $2.3 billion
29,remote_dataset/fleurs_vi_en/train/vi/vi_00029.wav,remote_dataset/fleurs_vi_en/train/en/en_00029.wav,11.64,9.96,ông tốt nghiệp trường nghệ thuật và khoa học thuộc đại học virginia vào năm 1950 và là nhà tài trợ quan trọng cho ngôi trường này,he graduated from the college of arts & sciences of the university of virginia in 1950 and was a significant donor to that institution
30,remote_dataset/fleurs_vi_en/train/vi/vi_00030.wav,remote_dataset/fleurs_vi_en/train/en/en_00030.wav,6.84,11.16,nhà tù abu ghraib của iraq đã bị đốt cháy trong cuộc bạo loạn,iraq's abu ghraib prison has been set alight during a riot
31,remote_dataset/fleurs_vi_en/train/vi/vi_00031.wav,remote_dataset/fleurs_vi_en/train/en/en_00031.wav,8.82,7.98,nhà tù này trở nên nổi tiếng kể từ vụ việc ngược đãi tù nhân bị phát hiện sau khi quân hoa kỳ tiếp quản,the jail became notorious after prisoner abuse was discovered there after us forces took over
32,remote_dataset/fleurs_vi_en/train/vi/vi_00032.wav,remote_dataset/fleurs_vi_en/train/en/en_00032.wav,13.32,11.34,piquet jr gặp tai nạn vào năm 2008 tại singapore grand prix ngay sau khi fernando alonso tấp sớm vào điểm dừng kỹ thuật mang ra một chiếc xe an toàn,piquet jr crashed in the 2008 singapore grand prix just after an early pit stop for fernando alonso bringing out the safety car
33,remote_dataset/fleurs_vi_en/train/vi/vi_00033.wav,remote_dataset/fleurs_vi_en/train/en/en_00033.wav,10.44,8.28,khi những chiếc xe phía trước phải vào nạp nhiên liệu theo lệnh của xe bảo đảm an toàn alonso đã vượt lên để giành chiến thắng,as the cars ahead of alonso went in for fuel under the safety car he moved up the pack to take victory
34,remote_dataset/fleurs_vi_en/train/vi/vi_00034.wav,remote_dataset/fleurs_vi_en/train/en/en_00034.wav,7.14,7.98,piquet jr bị sa thải sau cuộc đua grand prix hungary năm 2009,piquet jr was sacked after the 2009 hungarian grand prix
